doc ID,topic pairs
10.1107/S0108270110024601,"[(19, 0.9845504721998138)]"
10.1107/S1600536806000043,"[(105, 0.9170611806645755)]"
10.1107/S1600536813016577,"[(122, 0.5516755997238378), (0, 0.3943178503946403)]"
10.1107/S1600536813016887,"[(1, 0.9487057017263093)]"
10.1107/S1744309109032540,"[(138, 0.9616202946134548)]"
10.1107/S1744309110048414,"[(94, 0.967969156864176)]"
10.1107/S160053680600016X,"[(77, 0.4030740528216048), (41, 0.2946223135152634), (1, 0.21486515238150525)]"
10.1107/S1600536813016759,"[(1, 0.9593920138666616)]"
10.1107/S1744309110051110,"[(18, 0.9647755764741762)]"
10.1107/S1600536806002170,"[(18, 0.8027432282574658)]"
10.1107/S1600536813017418,"[(25, 0.9451729118446449)]"
10.1107/S0907444901018972,"[(34, 0.947815074093201)]"
10.1107/S0108270107015387,"[(60, 0.8895434604384631)]"
10.1107/S0907444912044903,"[(88, 0.9800993489035038)]"
10.1107/S0108270107019312,"[(85, 0.9644603026177547)]"
10.1107/S0108270107021622,"[(53, 0.9169903094809274)]"
10.1107/S1600536812029819,"[(109, 0.9698350534088834)]"
10.1107/S1600536812029777,"[(34, 0.9586869339117213)]"
10.1107/S0907444900014104,"[(12, 0.950757638225134)]"
10.1107/S1600536812031789,"[(12, 0.9648268844465243)]"
10.1107/S0909049508030859,"[(6, 0.3996752665691383), (134, 0.36997296561595355), (72, 0.2107374289860223)]"
10.1107/S1600536812032618,"[(7, 0.9649129804151235)]"
10.1107/S0108768199014020,"[(129, 0.9643553758595966)]"
10.1107/S1399004714021245,"[(74, 0.976835776885439)]"
10.1107/S090744490102039X,"[(142, 0.4082710074837185), (112, 0.1951241521692417), (85, 0.18813100702562963), (98, 0.1708305522588046)]"
10.1107/S0108270197007531,"[(60, 0.8757363929932716)]"
10.1107/S1600536804015806,"[(0, 0.9186451781320453)]"
10.1107/S1600536809030499,"[(3, 0.9621294940999604)]"
10.1107/S0567739481001307,"[(4, 0.9245495501378694)]"
10.1107/S0021889888014803,"[(86, 0.5011383533337905), (95, 0.30096065417947526)]"
10.1107/S1600536804016368,"[(1, 0.8917120369777644)]"
10.1107/S1600536809030736,"[(4, 0.5456972631405269), (18, 0.40594575151345436)]"
10.1107/S1600536804018124,"[(26, 0.8578929311773511)]"
10.1107/S002188989201286X,"[(56, 0.9569062708602375)]"
