row,run,topic,terms,p
5,2,0,crystal_in_n_h,0.011732394807040691
6,2,0,nbsp_nbsp,0.011409315280616283
7,2,0,x_ray_datum,0.011253297328948975
8,2,0,monoclinic_space_group,0.011098009534180164
9,2,0,form_hydrogen_bond,0.011089667677879333
10,2,1,mirror_plane,0.018049538135528564
11,2,1,space_group,0.01566866971552372
12,2,1,low_temperature,0.015361114405095577
13,2,1,phase_transformation,0.015277300961315632
14,2,1,cdii_atom,0.015050972811877728
15,2,1,tran_position,0.014015812426805496
16,2,1,crystal_surface,0.012644334696233273
17,2,1,crystallographically_independent_molecule,0.012422637082636356
18,2,1,electron_density,0.01118287444114685
19,2,1,c_bond,0.01109029445797205
20,2,2,cl_minus,0.028455697000026703
21,2,2,polymeric_chain,0.0206545889377594
22,2,2,o_atom,0.018211200833320618
23,2,2,asymmetric_unit,0.017382720485329628
24,2,2,crystallographic_asymmetric_unit,0.014316059648990631
25,2,2,twofold_rotation_axis,0.012426547706127167
26,2,2,c_atom,0.012155777774751186
27,2,2,rotation_axis,0.012139839120209217
28,2,2,water_molecule,0.011895610019564629
29,2,2,phenyl_ring,0.011466677300632
30,2,3,unit_cell_parameter,0.052207332104444504
31,2,3,unit_cell,0.047626424580812454
32,2,3,space_group,0.03993762284517288
33,2,3,aring_resolution,0.03916896879673004
34,2,3,vapour_diffusion_method,0.036852847784757614
35,2,3,vapour_diffusion,0.036042578518390656
36,2,3,hang_drop,0.03354620561003685
37,2,3,escherichia_coli,0.023011770099401474
38,2,3,synchrotron_radiation,0.01985347643494606
39,2,3,diffraction_datum,0.019365258514881134
40,2,4,pi_interaction,0.034995656460523605
41,2,4,c_h,0.03389480710029602
42,2,4,n_hydrogen_bond,0.030964992940425873
43,2,4,asymmetric_unit,0.02765839360654354
44,2,4,asymmetric_unit_independent_molecule,0.027454202994704247
45,2,4,bond_length,0.02482534386217594
46,2,4,n_hydrogen,0.023070596158504486
47,2,4,independent_molecule,0.023050876334309578
48,2,4,weak_c_h,0.021962523460388184
49,2,4,phenyl_ring,0.020699338987469673
50,2,5,molecular_structure,0.01855560392141342
51,2,5,respectively_deg_dihedral_angle,0.016558025032281876
52,2,5,b_direction,0.015393461100757122
53,2,5,dimensional_chain,0.014566604979336262
54,2,5,niii_atom,0.013664060272276402
55,2,5,rotational_symmetry,0.012461368925869465
56,2,5,twofold_rotational_symmetry,0.012461368925869465
57,2,5,high_density,0.011797004379332066
58,2,5,different_conformation_independent_molecule,0.011730638332664967
59,2,5,o_atom,0.011361828073859215
60,2,6,neutron_diffraction,0.026370417326688766
61,2,6,active_site,0.025587264448404312
62,2,6,monoclinic_form,0.01809478923678398
63,2,6,o_hydrogen_bond,0.01747921109199524
64,2,6,magnetic_field,0.016236798837780952
65,2,6,wild_type,0.013220193795859814
66,2,6,crystallographic_datum,0.012240544892847538
67,2,6,model_build,0.011026699095964432
68,2,6,n_cl_h,0.010989603586494923
69,2,6,high_resolution,0.010544775053858757
70,2,7,room_temperature,0.024547029286623
71,2,7,octahedral_environment,0.023346267640590668
